ruta,Origen,origen_localidad,origen_pais,origen_provincia,origen_continente,origen_lat,origen_lon,Destino,destino_localidad,destino_pais,destino_provincia,destino_continente,destino_lat,destino_lon
Ciudad de Buenos Aires (Argentina) - Ushuaia (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Bahía Blanca (Argentina) - Ciudad de Buenos Aires (Argentina),Bahía Blanca (Argentina),Bahía Blanca,Argentina,Buenos Aires,América del Sur,-38.7176522,-62.2654871,Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583
Ciudad de Buenos Aires (Argentina) - Mar del Plata (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Ciudad de Buenos Aires (Argentina) - Neuquén (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275
Ciudad de Buenos Aires (Argentina) - San Carlos de Bariloche (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Ciudad de Buenos Aires (Argentina) - San Martín de los Andes (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Martín de los Andes (Argentina),San Martín de los Andes,Argentina,Neuquén,América del Sur,-40.1568791,-71.3525588
Córdoba (Argentina) - Ezeiza (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Córdoba (Argentina) - Mendoza (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868
Córdoba (Argentina) - San Carlos de Bariloche (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Ezeiza (Argentina) - Puerto Iguazú (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199
Ezeiza (Argentina) - Trelew (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407
El Calafate (Argentina) - Ezeiza (Argentina),El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216,Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234
Ezeiza (Argentina) - Río Gallegos (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Río Gallegos (Argentina),Río Gallegos,Argentina,Santa Cruz,América del Sur,-51.6268852,-69.105804
Ezeiza (Argentina) - Ushuaia (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Ezeiza (Argentina) - San Carlos de Bariloche (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Mendoza (Argentina) - Neuquén (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275
Comodoro Rivadavia (Argentina) - Neuquén (Argentina),Comodoro Rivadavia (Argentina),Comodoro Rivadavia,Argentina,Chubut,América del Sur,-45.8632024,-67.4752615,Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275
Trelew (Argentina) - Ushuaia (Argentina),Trelew (Argentina),Trelew,Argentina,Chubut,América del Sur,-43.2531242,-65.3094407,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Córdoba (Argentina) - El Calafate (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216
El Calafate (Argentina) - Ushuaia (Argentina),El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
El Calafate (Argentina) - San Carlos de Bariloche (Argentina),El Calafate (Argentina),El Calafate,Argentina,Santa Cruz,América del Sur,-50.3387375,-72.2737216,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Rosario (Argentina) - San Carlos de Bariloche (Argentina),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474
Neuquén (Argentina) - San Martín de los Andes (Argentina),Neuquén (Argentina),Neuquén,Argentina,Neuquén,América del Sur,-38.3695057,-69.832275,San Martín de los Andes (Argentina),San Martín de los Andes,Argentina,Neuquén,América del Sur,-40.1568791,-71.3525588
Ciudad de Buenos Aires (Argentina) - Paraná (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Paraná (Argentina),Paraná,Argentina,Entre Ríos,América del Sur,-27.4662517,-56.7202568
Mendoza (Argentina) - Rosario (Argentina),Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Puerto Iguazú (Argentina) - Rosario (Argentina),Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Mar del Plata (Argentina) - Rosario (Argentina),Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079,Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024
Ciudad de Buenos Aires (Argentina) - San Rafael (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Rafael (Argentina),San Rafael,Argentina,Mendoza,América del Sur,-34.6126025,-68.330514
Ciudad de Buenos Aires (Argentina) - Santiago del Estero (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Santiago del Estero (Argentina),Santiago del Estero,Argentina,Santiago del Estero,América del Sur,-27.6431016,-63.5408542
Ciudad de Buenos Aires (Argentina) - Rio Hondo (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Rio Hondo (Argentina),Rio Hondo,Argentina,Santiago del Estero,América del Sur,-27.8162017,-64.2980404
Ciudad de Buenos Aires (Argentina) - La Rioja (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,La Rioja (Argentina),La Rioja,Argentina,La Rioja,América del Sur,-29.9729781,-67.0487944
Ciudad de Buenos Aires (Argentina) - San Juan (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Juan (Argentina),San Juan,Argentina,San Juan,América del Sur,-30.7054363,-69.1988222
Ciudad de Buenos Aires (Argentina) - Río Cuarto (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Río Cuarto (Argentina),Río Cuarto,Argentina,Córdoba,América del Sur,-33.1237585,-64.3489782
Ciudad de Buenos Aires (Argentina) - Formosa (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Formosa (Argentina),Formosa,Argentina,Formosa,América del Sur,-24.5955306,-60.4289718
Ciudad de Buenos Aires (Argentina) - Posadas (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Posadas (Argentina),Posadas,Argentina,Misiones,América del Sur,-27.3664824,-55.894295
Ciudad de Buenos Aires (Argentina) - San Salvador de Jujuy (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789
Ciudad de Buenos Aires (Argentina) - Río Grande (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Río Grande (Argentina),Río Grande,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-53.7858275,-67.7018562
Ciudad de Buenos Aires (Argentina) - Santa Rosa (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Santa Rosa (Argentina),Santa Rosa,Argentina,La Pampa,América del Sur,-36.6203503,-64.2905765
Córdoba (Argentina) - San Miguel de Tucumán (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,San Miguel de Tucumán (Argentina),San Miguel de Tucumán,Argentina,Tucumán,América del Sur,-26.8303703,-65.2038133
Córdoba (Argentina) - Puerto Iguazú (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Puerto Iguazú (Argentina),Puerto Iguazú,Argentina,Misiones,América del Sur,-25.6107508,-54.5764199
Córdoba (Argentina) - Salta (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964
Córdoba (Argentina) - San Salvador de Jujuy (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,San Salvador de Jujuy (Argentina),San Salvador de Jujuy,Argentina,Jujuy,América del Sur,-24.1852569,-65.2994789
Córdoba (Argentina) - Ushuaia (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Ushuaia (Argentina),Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-54.807306,-68.3084133
Córdoba (Argentina) - Mar del Plata (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079
Ezeiza (Argentina) - Mendoza (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868
Ezeiza (Argentina) - Salta (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Salta (Argentina),Salta,Argentina,Salta,América del Sur,-25.1076701,-64.3494964
Ezeiza (Argentina) - Río Grande (Argentina),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Río Grande (Argentina),Río Grande,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",América del Sur,-53.7858275,-67.7018562
Mar del Plata (Argentina) - Mendoza (Argentina),Mar del Plata (Argentina),Mar del Plata,Argentina,Buenos Aires,América del Sur,-37.9976168,-57.5482079,Mendoza (Argentina),Mendoza,Argentina,Mendoza,América del Sur,-34.787093,-68.4381868
Córdoba (Argentina) - Río Cuarto (Argentina),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Río Cuarto (Argentina),Río Cuarto,Argentina,Córdoba,América del Sur,-33.1237585,-64.3489782
Ciudad de Buenos Aires (Argentina) - Viedma (Argentina),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Viedma (Argentina),Viedma,Argentina,Río Negro,América del Sur,-40.8084274,-62.994722
San Carlos de Bariloche (Argentina) - Viedma (Argentina),San Carlos de Bariloche (Argentina),San Carlos de Bariloche,Argentina,Río Negro,América del Sur,-41.1334781,-71.3101474,Viedma (Argentina),Viedma,Argentina,Río Negro,América del Sur,-40.8084274,-62.994722
Ciudad de Buenos Aires (Argentina) - Punta del Este (Uruguay),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Punta del Este (Uruguay),Punta del Este,Uruguay,,América del Sur,-34.9632342,-54.9439981
Ciudad de Buenos Aires (Argentina) - Montevideo (Uruguay),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Montevideo (Uruguay),Montevideo,Uruguay,,América del Sur,-34.9058916,-56.1913095
Resistencia (Argentina) - Asunción (Paraguay),Resistencia (Argentina),Resistencia,Argentina,Chaco,América del Sur,-27.6048829,-59.1932003,Asunción (Paraguay),Asunción,Paraguay,,América del Sur,-25.2800459,-57.6343814
Ezeiza (Argentina) - Nueva York (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Nueva York (Estados Unidos),Nueva York,Estados Unidos,,América del Norte,40.7127281,-74.0060152
Ezeiza (Argentina) - Miami (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Miami (Estados Unidos),Miami,Estados Unidos,,América del Norte,25.7741728,-80.19362
Ezeiza (Argentina) - Barcelona (España),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Barcelona (España),Barcelona,España,,Europa,41.3825802,2.177073
Ezeiza (Argentina) - Cancún (México),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Cancún (México),Cancún,México,,América del Norte,21.1527467,-86.8425761
Rosario (Argentina) - Río de Janeiro (Brasil),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Río de Janeiro (Brasil),Río de Janeiro,Brasil,,América del Sur,-22.9110137,-43.2093727
Rosario (Argentina) - Punta del Este (Uruguay),Rosario (Argentina),Rosario,Argentina,Santa Fe,América del Sur,-32.9593609,-60.6617024,Punta del Este (Uruguay),Punta del Este,Uruguay,,América del Sur,-34.9632342,-54.9439981
Ciudad de Buenos Aires (Argentina) - Florianópolis (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Florianópolis (Brasil),Florianópolis,Brasil,,América del Sur,-27.5973002,-48.5496098
Ciudad de Buenos Aires (Argentina) - Río de Janeiro (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Río de Janeiro (Brasil),Río de Janeiro,Brasil,,América del Sur,-22.9110137,-43.2093727
Ciudad de Buenos Aires (Argentina) - São Paulo (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,São Paulo (Brasil),São Paulo,Brasil,,América del Sur,-23.5506507,-46.6333824
Ciudad de Buenos Aires (Argentina) - Santiago (Chile),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Santiago (Chile),Santiago,Chile,,América del Sur,-33.4377756,-70.6504502
Ciudad de Buenos Aires (Argentina) - Santa Cruz de la Sierra (Bolivia),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Santa Cruz de la Sierra (Bolivia),Santa Cruz de la Sierra,Bolivia,,América del Sur,-17.7834217,-63.1820853
Ezeiza (Argentina) - Río de Janeiro (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Río de Janeiro (Brasil),Río de Janeiro,Brasil,,América del Sur,-22.9110137,-43.2093727
Ezeiza (Argentina) - Salvador (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Salvador (Brasil),Salvador,Brasil,,América del Sur,-12.9822499,-38.4812772
Ezeiza (Argentina) - Santiago (Chile),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Santiago (Chile),Santiago,Chile,,América del Sur,-33.4377756,-70.6504502
Ezeiza (Argentina) - Bogotá (Colombia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Bogotá (Colombia),Bogotá,Colombia,,América del Sur,4.7110053,-74.0720857
Ezeiza (Argentina) - Santa Cruz de la Sierra (Bolivia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Santa Cruz de la Sierra (Bolivia),Santa Cruz de la Sierra,Bolivia,,América del Sur,-17.7834217,-63.1820853
Ezeiza (Argentina) - Lima (Perú),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Lima (Perú),Lima,Perú,,América del Sur,-12.0621065,-77.0365256
Ezeiza (Argentina) - São Paulo (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,São Paulo (Brasil),São Paulo,Brasil,,América del Sur,-23.5506507,-46.6333824
Ezeiza (Argentina) - Porto Seguro (Brasil),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Porto Seguro (Brasil),Porto Seguro,Brasil,,América del Sur,-16.443473,-39.064251
Ezeiza (Argentina) - México DF (México),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,México DF (México),México DF,México,,América del Norte,19.512204,-98.8743676
Ezeiza (Argentina) - Madrid (España),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Madrid (España),Madrid,España,,Europa,40.4167047,-3.7035825
Ezeiza (Argentina) - París (Francia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,París (Francia),París,Francia,,Europa,48.8534951,2.3483915
Ezeiza (Argentina) - Auckland (Nueva Zelandia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Auckland (Nueva Zelandia),Auckland,Nueva Zelandia,,Oceanía,-36.852095,174.7631803
Ezeiza (Argentina) - Roma (Italia),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Roma (Italia),Roma,Italia,,Europa,41.8933203,12.4829321
Ezeiza (Argentina) - Dallas-Fort Worth (Estados Unidos),Ezeiza (Argentina),Ezeiza,Argentina,Buenos Aires,América del Sur,-34.8168141,-58.5474234,Dallas-Fort Worth (Estados Unidos),Dallas-Fort Worth,Estados Unidos,,América del Norte,32.8965194,-97.0465221
Ciudad de Buenos Aires (Argentina) - Curitiba (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Curitiba (Brasil),Curitiba,Brasil,,América del Sur,-25.4295963,-49.2712724
Ciudad de Buenos Aires (Argentina) - Porto Alegre (Brasil),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Porto Alegre (Brasil),Porto Alegre,Brasil,,América del Sur,-30.0324999,-51.2303767
Ciudad de Buenos Aires (Argentina) - Asunción (Paraguay),Ciudad de Buenos Aires (Argentina),Ciudad de Buenos Aires,Argentina,Ciudad Autónoma de Buenos Aires,América del Sur,-34.6083696,-58.4440583,Asunción (Paraguay),Asunción,Paraguay,,América del Sur,-25.2800459,-57.6343814
Córdoba (Argentina) - Punta del Este (Uruguay),Córdoba (Argentina),Córdoba,Argentina,Córdoba,América del Sur,-31.4166867,-64.1834193,Punta del Este (Uruguay),Punta del Este,Uruguay,,América del Sur,-34.9632342,-54.9439981
